StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q6,Q7,Q7_8_TEXT,Q9,Q10,SC0
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Do you consent to participate?,Q1 - First Click,Q1 - Last Click,Q1 - Page Submit,Q1 - Click Count,Matrix statement 1 about classroom experience,Matrix statement 2 about classroom experience,Matrix statement 3 about classroom experience,Matrix statement 4 about classroom experience (reverse-worded),Matrix statement 5 about classroom experience,Matrix statement 6 about classroom experience,How satisfied are you with the course overall?,Which study strategies did you use? (select all that apply),"Which study strategies did you use? - Other, please specify",Is there anything else you'd like to share? (open-ended),Please describe your overall experience.,Total score
2026-02-20 09:31:49,2026-02-20 09:31:49,IP Address,10.219.1.38,100,355,True,2026-02-20 09:31:49,R_C_00073,Last73,First73,student73@example.edu,,40.87949,-77.133021,anonymous,EN,Yes,1.73,5.97,10.36,2,5,2,3,4,3,5,1,"Office hours, Online videos",,You can reach me at student73@example.edu if you need more detail.,"More practice problems would help, please add some.",86
2026-02-13 11:42:18,2026-02-13 11:42:18,IP Address,10.198.207.216,100,756,True,2026-02-13 11:42:18,R_C_00066,Last66,First66,student66@example.edu,,35.069802,-76.706223,anonymous,EN,Yes,1.27,7.64,12.31,2,4,3,4,3,3,3,5,"Tutor, Textbook, Flashcards",,You can reach me at student66@example.edu if you need more detail.,"It was fine. Nothing special, nothing terrible.",72
2026-02-23 12:43:37,2026-02-23 12:43:37,IP Address,10.147.88.29,100,109,True,2026-02-23 12:43:37,R_C_00049,Last49,First49,student49@example.edu,,36.099422,-83.383546,anonymous,EN,Yes,2.69,7.56,12.19,3,2,4,2,3,-99,4,2,Other,Peer tutoring center,You can reach me at student49@example.edu if you need more detail.,"Study groups were helpful, especially before quizzes.",77
2026-02-06 13:02:38,2026-02-06 13:02:38,IP Address,10.3.92.181,100,394,True,2026-02-06 13:02:38,R_C_00086,Last86,First86,student86@example.edu,,45.878355,-74.731217,anonymous,EN,Yes,1.35,5.78,10.32,3,4,3,3,4,1,-99,5,"Office hours, Other",Peer tutoring center,You can reach me at student86@example.edu if you need more detail.,"The professor explained things clearly, and the TA was great too.",89
2026-02-07 14:51:09,2026-02-07 14:51:09,IP Address,10.99.231.108,100,720,True,2026-02-07 14:51:09,R_C_00033,Last33,First33,student33@example.edu,,40.134447,-86.595373,anonymous,EN,Yes,0.36,7.56,13.93,1,4,3,4,5,4,-99,1,"Online videos, Office hours",,You can reach me at student33@example.edu if you need more detail.,"I wish we had more time on word problems, graphs, and functions.",80
2026-02-03 10:41:59,2026-02-03 10:41:59,IP Address,10.249.71.148,100,819,True,2026-02-03 10:41:59,R_C_00083,Last83,First83,student83@example.edu,,27.225223,-86.533974,anonymous,EN,Yes,1.36,7.25,11.21,1,3,3,3,3,2,2,4,Flashcards,,You can reach me at student83@example.edu if you need more detail.,"This was hard for me,
but I learned a lot in the end.",62
2026-02-03 10:23:17,2026-02-03 10:23:17,IP Address,10.87.203.64,100,192,True,2026-02-03 10:23:17,R_C_00029,Last29,First29,student29@example.edu,,40.032262,-90.411818,anonymous,EN,Yes,2.95,7.97,8.62,2,4,3,3,4,3,3,5,"Flashcards, Study group, Other",Peer tutoring center,You can reach me at student29@example.edu if you need more detail.,"I liked the pacing, the examples, and the ""extra practice"" set.
Overall: solid, would recommend, 9/10.",88
2026-02-27 16:02:38,2026-02-27 16:02:38,IP Address,10.78.182.31,100,358,True,2026-02-27 16:02:38,R_C_00026,Last26,First26,student26@example.edu,,29.166816,-106.999444,anonymous,EN,Yes,2.33,6.64,14.29,2,2,4,2,3,3,3,7,"Online videos, Flashcards, Tutor",,You can reach me at student26@example.edu if you need more detail.,"Best math teacher I've had, would take another class with them.",79
2026-02-10 08:30:30,2026-02-10 08:30:30,IP Address,10.15.120.225,100,451,True,2026-02-10 08:30:30,R_C_00090,Last90,First90,student90@example.edu,,35.375869,-87.281992,anonymous,EN,Yes,1.82,4.19,12.76,1,2,4,4,3,3,2,5,Study group,,You can reach me at student90@example.edu if you need more detail.,"It was fine. Nothing special, nothing terrible.",72
